"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.6379793749428e-41,0.703865146371353,0.913,0.904,4.98912491479655e-37,"0","JUNB"
4.34725104302808e-41,0.621933968707976,0.916,0.804,5.96182008040871e-37,"0","GLTSCR2"
3.78554713348032e-40,0.951134172930341,0.613,0.328,5.19149933885491e-36,"0","IL7R"
9.70976162252134e-40,0.553487528218805,0.952,0.872,1.33159670891258e-35,"0","RPL38"
3.7784340091802e-38,0.538921013160673,0.942,0.838,5.18174440018972e-34,"0","RPS21"
1.22986243482177e-37,0.315736460532423,0.999,0.996,1.68663334311458e-33,"0","RPLP1"
4.52190228156684e-37,0.834652146983095,0.571,0.295,6.20133678894077e-33,"0","CD7"
2.61468650562154e-36,0.406534566387113,0.993,0.964,3.58578107380938e-32,"0","RPL35"
3.65066305483606e-35,0.297778025099541,1,0.989,5.00651931340217e-31,"0","RPL12"
8.84279995384343e-35,0.427800308899863,0.984,0.942,1.21270158567009e-30,"0","RPL24"
8.72165001051374e-34,0.437400508565678,0.987,0.942,1.19608708244185e-29,"0","RPL37"
1.25765637443443e-33,1.31684928943134,0.39,0.177,1.72474995189937e-29,"0","TCF7"
7.98969222464345e-33,1.88718240249235,0.263,0.088,1.0957063916876e-28,"0","MAL"
2.25727430386565e-32,0.945044802163248,0.699,0.491,3.09562598032135e-28,"0","C6orf48"
1.93495436776338e-31,0.626824061454268,0.931,0.902,2.65359641995071e-27,"0","RPL34"
1.58612495850039e-30,0.596284303812649,0.848,0.696,2.17521176808743e-26,"0","RPSAP58"
2.16927780073147e-30,0.382674721363832,0.977,0.951,2.97494757592313e-26,"0","RPL27"
8.08623243051494e-30,0.377614174437512,0.986,0.945,1.10894591552082e-25,"0","RPL37A"
1.58245532139183e-29,0.970537993471583,0.399,0.183,2.17017922775676e-25,"0","CD27"
3.34510395116407e-29,0.490476328074305,0.939,0.869,4.58747555862641e-25,"0","RPS4Y1"
4.5744710071468e-29,0.431166383238881,0.903,0.633,6.27342953920112e-25,"0","LTB"
1.42155180960794e-28,0.302230061777498,0.999,0.992,1.94951615169632e-24,"0","RPL6"
1.70344917127894e-27,0.329399462173917,0.987,0.975,2.33611019349194e-23,"0","RPL7A"
3.9882217532817e-27,1.15311271568784,0.405,0.208,5.46944731245052e-23,"0","LEPROTL1"
2.24836423890806e-25,0.278362315756773,0.996,0.996,3.08340671723851e-21,"0","RPL15"
2.67263789741921e-23,0.686300923041335,0.645,0.439,3.6652556125207e-19,"0","AES"
3.05047631833048e-22,1.08874306012956,0.36,0.184,4.18342322295843e-18,"0","RGCC"
4.10180141087492e-21,1.40367548111531,0.282,0.134,5.62521045487387e-17,"0","FLT3LG"
5.82588930078481e-21,0.283253404943848,0.997,0.987,7.98962458709629e-17,"0","RPS7"
1.77434178232694e-20,0.265773417225027,0.999,0.986,2.43333232028316e-16,"0","RPS9"
2.31354010915028e-20,1.08689545251672,0.376,0.206,3.17278890568869e-16,"0","RHOH"
4.61227852912855e-20,1.10838407343723,0.426,0.257,6.32527877484689e-16,"0","C12orf57"
5.54409883997244e-20,0.75269394139945,0.549,0.384,7.6031771491382e-16,"0","TMEM123"
6.36073128748276e-20,1.07787838742319,0.444,0.283,8.72310688765386e-16,"0","NDFIP1"
1.27637442070759e-19,0.791259867545923,0.5,0.312,1.75041988055838e-15,"0","LCK"
1.18973330214575e-18,0.317760216851293,0.961,0.918,1.63160025056268e-14,"0","HNRNPA1"
1.28021306542869e-18,0.478986848186984,0.841,0.757,1.75568419792891e-14,"0","TOMM7"
2.43574098778943e-18,0.763945321581728,0.408,0.243,3.34037519065442e-14,"0","GIMAP5"
2.47834376272429e-18,0.940883297554571,0.335,0.178,3.39880063620008e-14,"0","CD3G"
7.54324202316911e-18,0.467571259386303,0.741,0.606,1.03448021105741e-13,"0","HINT1"
3.82218160523584e-17,0.623118835585343,0.595,0.429,5.24173985342043e-13,"0","SELL"
